ID,RA_x,Dec_x,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,Ha/100um,id,RA_y,Dec_y,xcenter,ycenter,3.6um_aperture_average,r_kpc,LBol,Sigma_star,L_Edd,Mass_old,Mass_new,Mass_g,Momentum
615,308.7319,60.1351,1.4012e+37,7.3171e+35,1.0125e+36,2.0676e+35,0.3751,0.6972,0.024728999999999998,0.0041208,0.0049928,0.01515,0.0034186,615,308.7319,60.1351,434.9352066456231,405.4668797466079,1.6360807794153045,3.1379024144412835,1.9353591160220996e+39,572.6282727953566,5051818332.204145,119930.98500344696,352.64114577772807,14689.233812556327,0.6716201741014972
616,308.7324,60.1355,1.5792000000000001e+37,8.2744e+35,1.8431e+36,2.6298e+35,1.1325,0.3399,0.027499000000000003,0.0046051,0.0049096,0.015808000000000003,0.0037451,616,308.7324,60.1355,434.88777712050927,411.1205944382537,1.7059842555333964,3.093126648341438,2.18121546961326e+39,597.0944894366887,4214295758.9901576,125055.17743421663,397.43855082228674,44349.6595380433,1.0128461976854586
617,308.7418,60.1432,1.3112e+37,6.9316e+35,2.4842e+36,2.9888e+35,1.8977,0.2653,0.032424,0.0044581,0.0046787,0.018269999999999998,0.0040681,617,308.7418,60.1432,435.13610796741625,519.2501044718755,1.954035225504713,2.4261811672751428,1.8110497237569062e+39,683.9123289266496,4771366294.500234,143238.2632170299,329.9907724405917,74315.5398722691,1.147908251241587
618,308.7423,60.1436,2.504e+37,1.315e+36,3.2814000000000004e+36,3.6721e+35,1.3154,0.2399,0.049127,0.0064294,0.006807,0.02683,0.0059854,618,308.7423,60.1436,435.09015334597365,524.9034424060125,1.9109804487493056,2.405788449944596,3.458563535911602e+39,668.843157062257,4587099757.953829,140082.18324203938,630.1837204021061,51512.17850449639,1.0534057019611152
619,308.7428,60.144,2.5715000000000003e+37,1.3503e+36,3.0371e+36,3.3639e+35,1.1511,0.2345,0.052047,0.0069093,0.0083149,0.027861,0.0064,619,308.7428,60.144,435.0442725102365,530.5567617415857,1.7228420559130788,2.3871359470310294,3.551795580110498e+39,602.9947195695777,4230714764.9445295,126290.91874354817,647.1715004049586,45078.05129734361,1.0220695809876439
620,308.7434,60.1445,1.7034e+37,8.9725e+35,1.3778e+36,2.1616e+35,0.5531,0.4025,0.042072000000000005,0.0059971,0.0078875,0.023485,0.0054172,620,308.7434,60.1445,435.114459302818,537.5455101535279,1.4735155167588307,2.3649159414895604,2.352762430939227e+39,515.7304308655906,4104459170.3998814,108014.32885600254,428.69606602753504,21659.864627365783,0.7968122636076865
621,308.7476,60.1479,5.7035e+36,3.1208e+35,8.3986e+35,1.8333e+35,1.4996,0.615,0.024696,0.0039556,0.0060757,0.016303,0.0038601,621,308.7476,60.1479,434.9830489596025,585.4420264572952,1.87672134571964,2.2967007583822534,7.877762430939226e+38,656.8524710018738,4542529475.687906,137570.8598261193,143.54044925373051,58725.60657240596,1.0870692068672172
622,308.7481,60.1483,1.0393000000000001e+37,5.5222e+35,3.3095e+36,3.2884e+35,2.718,0.2011,0.024752,0.0038431,0.004152,0.015248,0.0037505000000000004,622,308.7481,60.1483,434.9379549022203,591.0951458011897,2.1882013921733936,2.2981554849189414,1.435497237569061e+39,765.8704872606877,5501582675.303215,160403.53975862745,261.56147788095404,106439.1828913039,1.2204450135044291
623,308.7486,60.1487,1.0097e+37,5.3691e+35,2.2372e+36,2.6265e+35,2.1451,0.2582,0.022723,0.0035749,0.003387,0.013222,0.0034327,623,308.7486,60.1487,434.8929346309066,596.7482465454102,1.9798224594703204,2.3015624297635084,1.3946132596685085e+39,692.9378608146121,4898471614.6099,145128.56619529414,254.11202176118476,84003.93348790877,1.177151818544862
624,308.7586,60.1568,1.2974000000000002e+37,6.860000000000001e+35,1.3535e+36,1.8365e+35,0.9552,0.3194,0.04336,0.0083636,0.009891200000000001,0.024802,0.0066488,624,308.7586,60.1568,434.6339918312393,710.8301601581841,1.11108304161321,2.738172574009273,1.7919889502762433e+39,388.8790645646235,3113289791.6558623,81446.64082473947,326.5177151955641,37406.4413163258,0.9622931239320943
625,308.7591,60.1573,1.3233e+37,6.9941e+35,9.3472e+35,1.6886e+35,0.3392,0.4974,0.042836,0.0083992,0.01115,0.02546,0.006654600000000001,625,308.7591,60.1573,435.2165041658615,717.5066656178578,1.0011187776466512,2.7764966830764757,1.827762430939226e+39,350.391572176328,3414007356.7283893,73385.83926859531,333.03598930036213,13283.359395412173,0.6406059413047447
626,308.7858,60.178999999999995,2.6992e+36,4.7938e+35,9.0231e+35,1.2436e+35,2.7947,0.401,0.021988,0.0042811,0.0051542,0.016206,0.0034027000000000003,626,308.7858,60.178999999999995,435.132889363283,1022.8139201302124,1.1704493725856642,5.671034663000111,3.728176795580112e+38,409.65728040498254,3978242489.086402,85798.42017399115,67.93098634622066,109442.81987723586,1.2341171638564443
627,308.7864,60.1794,4.9864000000000003e+36,5.0503e+35,4.8388e+35,1.1378e+35,0.8408,0.3576,0.028208999999999998,0.0052595,0.006496200000000001,0.020505000000000002,0.0042375,627,308.7864,60.1794,434.58448140283446,1028.777091595032,1.0941498074411988,5.737559895649762,6.887292817679558e+38,382.95243260441964,3050992231.039231,80205.36992962568,125.49313512032995,32926.44038815612,0.9331471258189205
