ID RA Dec LHa E_LHa LPab E_Pab AHa E_AHa Ha/24um Ha/70um Ha/8um Ha/12um
133 202.5119 47.1622 1.2735e+37 6.6918e+35 8.3334e+35 1.937e+35 0.1448 0.4895 1.1504e-02 4.3226e-03 1.1744e-02 1.8316e-02
134 202.5119 47.1628 1.2972e+37 6.8137e+35 9.7051e+35 2.164e+35 0.3563 0.4609 9.1267e-03 4.3287e-03 1.1548e-02 1.5897e-02
135 202.5119 47.1633 1.8928e+37 9.8803e+35 1.601e+36 2.4056e+35 0.5502 0.2939 1.0581e-02 5.7556e-03 1.1187e-02 1.7888e-02
136 202.5119 47.1639 2.3033e+37 1.1999e+36 2.6221e+36 3.1821e+35 1.0195 0.2114 1.1660e-02 6.4523e-03 1.1024e-02 1.8925e-02
137 202.5119 47.1644 2.4114e+37 1.2558e+36 2.3987e+36 3.1485e+35 0.8064 0.2186 1.2235e-02 6.2938e-03 1.1567e-02 1.8593e-02
138 202.512 47.1655 1.1207e+38 5.8079e+36 7.5073e+36 5.5825e+35 0.1818 0.0987 6.1845e-02 2.1973e-02 1.8576e-02 7.4630e-02
139 202.512 47.1661 8.4369e+37 4.3739e+36 1.1558e+37 1.1423e+36 1.3119 0.1228 5.6242e-02 1.6263e-02 1.3771e-02 6.0816e-02
140 202.512 47.1666 2.034e+37 1.0609e+36 2.884e+36 2.6962e+35 1.3663 0.1745 1.9753e-02 4.9825e-03 8.7096e-03 1.9841e-02
141 202.512 47.205 2.6662e+37 1.3873e+36 1.7809e+36 1.9412e+35 0.1773 0.2138 3.8113e-02 9.1734e-03 7.0286e-03 2.5632e-02
142 202.512 47.2055 4.5972e+37 2.3862e+36 4.9969e+36 5.3348e+35 0.9464 0.1351 5.9191e-02 1.1420e-02 1.0420e-02 4.0494e-02
143 202.512 47.2061 1.6059e+37 8.4012e+35 2.5848e+36 2.4331e+35 1.5664 0.1441 2.6706e-02 4.3804e-03 6.9484e-03 1.9006e-02
144 202.512 47.2122 1.0567e+37 5.5797e+35 7.7281e+35 1.307e+35 0.3204 0.3274 3.3342e-02 7.1674e-03 4.3403e-03 1.5477e-02
145 202.512 47.2128 2.2078e+37 1.1505e+36 1.8199e+36 1.6925e+35 0.5094 0.1208 5.0535e-02 1.0775e-02 5.9592e-03 2.3321e-02
146 202.512 47.2133 1.5943e+37 8.3413e+35 1.3405e+36 1.3458e+35 0.5407 0.1448 3.6345e-02 7.4143e-03 5.4528e-03 1.7762e-02
