planar_aged_5pc_1Myr,spherical_aged_5pc_1Myr,planar_unaged_5pc_1Myr,spherical_unaged_5pc_1Myr,planar_unaged_20pc_1Myr,spherical_unaged_20pc_1Myr,planar_unaged_50pc_1Myr,spherical_unaged_50pc_1Myr,planar_unaged_10pc_1Myr,spherical_unaged_10pc_1Myr,planar_unaged_5pc_10Myr,spherical_unaged_5pc_10Myr,planar_unaged_10pc_10Myr,spherical_unaged_10pc_10Myr,planar_unaged_20pc_10Myr,spherical_unaged_20pc_10Myr,planar_unaged_50pc_10Myr,spherical_unaged_50pc_10Myr,planar_unaged_5pc_100Myr,spherical_unaged_5pc_100Myr,planar_unaged_10pc_100Myr,spherical_unaged_10pc_100Myr,planar_unaged_20pc_100Myr,spherical_unaged_20pc_100Myr,planar_unaged_50pc_100Myr,spherical_unaged_50pc_100Myr
40099.57051691288,688316.9609995454,208543.3309333092,843464.6567396127,208568.21127317645,100.0,100.0,100.0,208548.30764072135,665142.8888945645,918225.1957834326,1409304.2710011678,918240.0760058579,1195221.6420943798,918299.6136434136,100.0,918716.0135242783,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,86990.19104469921,100.0,380494.50374934817,100.0,100.0,100.0,100.0,100.0,100.0,100.0,786201.0982808567,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,479671.3617246585,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,463365.7887993437,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,112940.19978686945,100.0,348333.8201337841,100.0,100.0,100.0,100.0,100.0,100.0,100.0,650949.3117529352,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,400533.247790464,100.0,607759.3040926332,100.0,100.0,100.0,100.0,100.0,100.0,564356.0701145548,1049658.4365022024,564358.5831273412,751706.5989917143,564368.6347999141,100.0,564438.9795465514,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,96487.10829502714,100.0,388656.56942581176,100.0,100.0,100.0,100.0,100.0,100.0,100.0,758389.3446228445,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,472492.5796304764,100.0,688495.6316115434,100.0,100.0,100.0,100.0,100.0,100.0,509340.9491390382,1202586.0104828954,509343.3777093114,100.0,509353.09160928894,100.0,509421.0718384843,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,147356.6535318426,100.0,535726.5555451817,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1038058.1554109253,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,576494.7164457259,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,36591.95291995167,100.0,305614.7956783326,100.0,100.0,100.0,100.0,100.0,100.0,100.0,640492.5378556922,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,505154.37256234046,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
11784.833190060692,784106.6435033964,78611.94707807877,957903.3926055512,100.0,100.0,100.0,100.0,78615.76132511595,620994.0376631478,805683.9780676637,1640081.5738237435,805698.1713932954,1238987.7767729484,805754.9365568428,100.0,806151.9284398817,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
